Class,TP,FP,FN,TN,Precision,Recall,F1
C1,10,12,8,231,0.45454545454545453,0.5555555555555556,0.5
C2,2,2,23,234,0.5,0.08,0.13793103448275862
C3,0,1,19,241,0.0,0.0,0.0
C4,20,100,4,137,0.16666666666666666,0.8333333333333334,0.2777777777777778
C5,13,12,26,210,0.52,0.3333333333333333,0.40625
C6,36,75,16,134,0.32432432432432434,0.6923076923076923,0.44171779141104295
C7,26,38,18,179,0.40625,0.5909090909090909,0.48148148148148145
C8,7,8,18,228,0.4666666666666667,0.28,0.35
C9,1,0,1,259,1.0,0.5,0.6666666666666666
C10,4,13,6,238,0.23529411764705882,0.4,0.2962962962962963
C11,14,23,7,217,0.3783783783783784,0.6666666666666666,0.4827586206896552
C12,4,0,1,256,1.0,0.8,0.8888888888888888
C13,7,9,30,215,0.4375,0.1891891891891892,0.2641509433962264
C14,38,81,40,102,0.31932773109243695,0.48717948717948717,0.38578680203045684
C15,28,1,0,232,0.9655172413793104,1.0,0.9824561403508771
C16,0,3,1,257,0.0,0.0,0.0
C17,0,0,1,260,0.0,0.0,0.0
C18,2,1,2,256,0.6666666666666666,0.5,0.5714285714285714
